"218215024","Blk 176C","1.3983152","103.9089321"
"218215027","Blk 176D","1.3979205","103.909464"
"218215029","Blk 178","1.3994169","103.9085474"
"218215032","Blk 180","1.3985678","103.9092497"
"218215034","Blk 181","1.3992552","103.9090922"
"218215037","Blk 182","1.3990119","103.9094495"
"218215040","Blk 184","1.3984784","103.910081"
"218215043","Blk 185","1.3981716","103.9103279"
"218215046","Blk 186","1.39876","103.9111127"
"218215053","Blk 183","1.3987708","103.9097461"
"218215054","Blk 187","1.3990097","103.9108446"
"218215057","Blk 188","1.3990866","103.910452"
"218215060","Blk 190","1.3993496","103.9100674"
"218215062","Blk 191","1.3996205","103.9098027"
"218215065","Blk 192","1.3998901","103.909533"
"218215066","Blk 193","1.3999259","103.9089278"
"218215068","Blk 195A","1.4015477","103.906155"
"218215069","Blk 195B","1.4013909","103.9064562"
"218215070","Blk 195C","1.4011137","103.9067959"
"218215071","Blk 195D","1.4015401","103.907022"
"218215072","Blk 195E","1.4017904","103.907216"
"218215073","Blk 196","1.3993274","103.9071814"
"218215074","Blk 196A","1.3993331","103.9067812"
"218215075","Blk 196B","1.3990295","103.90718"
"218215076","Blk 196C","1.3994049","103.9075593"
"218215077","Blk 196D","1.3996573","103.9073405"
"218215078","Blk 197A","1.3998605","103.9069178"
"218215079","Blk 197B","1.400119","103.9065877"
"218215080","Blk 199","1.4002318","103.905967"
"218215081","Blk 199A","1.3997913","103.9062074"
"218215082","Blk 199B","1.4000805","103.9057885"
"218215083","Blk 199C","1.4006721","103.9058967"
"218215084","Blk 199D","1.4004645","103.9062763"
"218215085","Blk 201","1.3997837","103.9036857"
"218215086","Blk 201A","1.4001999","103.9035303"
"218215087","Blk 201B","1.399969","103.9039612"
"218215088","Blk 201C","1.3994576","103.9036537"
"218215089","Blk 201D","1.3995864","103.9032601"
"218215090","Blk 202A","1.3997211","103.9044004"
"218215091","Blk 202B","1.399211","103.9041864"
"218215092","Blk 203A","1.3986314","103.9038705"
"218215093","Blk 203B","1.3981112","103.9035774"
"218215094","Blk 204A","1.398944","103.902889"
"218215095","Blk 204B","1.3986769","103.9033089"
"218215096","Blk 204C","1.3981566","103.9030671"
"218215097","Blk 204D","1.398354","103.9026621"
"218215098","Blk 205A","1.398578","103.9022135"
"218215100","267A","1.404662","103.8976227"
"218215101","267B","1.4045282","103.8980561"
"218215102","267C","1.404367","103.8984113"
"218215103","268A","1.4041272","103.897388"
"218215104","268B","1.4037237","103.8973845"
"218215105","268C","1.4035568","103.8978183"
"218215106","268D","1.4034063","103.898254"
"218215109","269A","1.4031488","103.8991034"
"218215110","269B","1.4034163","103.8987756"
"218215111","269C","1.4037528","103.8985469"
"218215113","270A","1.4040278","103.8996133"
"218215114","270B","1.4041589","103.899195"
"218215115","270C","1.4042623","103.8987798"
"218215117","273A","1.4022774","103.9021262"
"218215118","273B","1.4020322","103.9017853"
"218215119","273C","1.402237","103.9013801"
"218215120","273D","1.4026282","103.9014705"
"218215121","274A","1.4027227","103.9023674"
"218215123","274B","1.4031224","103.9024316"
"218215124","274C","1.4033607","103.901966"
"218215125","274D","1.4031046","103.9017219"
"218215126","Blk 288A","1.4023171","103.9031576"
"218215127","Blk 288B","1.4027295","103.9032946"
"218215128","Blk 288C","1.4025151","103.9036849"
"218215130","Blk 289A","1.4015669","103.9027319"
"218215133","Blk 289B","1.4012905","103.9032363"
"218215137","Blk 289C","1.4016541","103.9034807"
"218215140","Blk 289D","1.4020506","103.9036292"
"218215142","Blk 292","1.4024226","103.9051032"
"218215143","Blk 293","1.4031741","103.9049597"
"218215144","Blk 294","1.4026872","103.9046769"
"218215145","Blk 295","1.4020047","103.9048642"
"218215146","Blk 296","1.4016979","103.905299"
"218215147","Blk 297","1.4022883","103.9054975"
"218215148","Blk 298","1.4026126","103.9056626"
"218215149","Blk 299","1.4027949","103.905336"
"218215150","Blk 301A","1.404157","103.9062753"
"218215151","Blk 301B","1.4042851","103.9058892"
"218215152","Blk 301C","1.4044227","103.9056415"
"218215153","Blk 301D","1.4045565","103.9053593"
"218215154","Blk 302","1.4048824","103.9045561"
"218215155","Blk 302A","1.4045119","103.9044019"
"218215157","Blk 302B","1.404406","103.9047562"
"218215160","Blk 302C","1.4048249","103.9048829"
"218215162","Blk 302D","1.4046918","103.90512"
"218215165","Blk 303A","1.403809","103.9057605"
"218215166","Blk 303B","1.4039404","103.9055183"
"218215167","Blk 303C","1.404078","103.9052954"
"218215168","Blk 303D","1.4042685","103.9050009"
"218215169","Blk 305A","1.4052051","103.9067226"
"218215170","Blk 305B","1.4053774","103.9063854"
"218215171","Blk 305D","1.4057889","103.9069365"
"218215172","Blk 306A","1.4061209","103.9054158"
"218215173","Blk 306B","1.405853","103.9059333"
"218215174","Blk 306C","1.406426","103.9060078"
"218215175","Blk 306D","1.4061131","103.9064785"
"218215176","Blk 601A","1.4024859","103.90759"
"218215177","Blk 601B","1.4022784","103.9078997"
"218215178","Blk 601C","1.4027727","103.9080352"
"218215179","Blk 601D","1.4029774","103.907682"
"218215180","Blk 301","1.4037205","103.9061298"
"218215181","Blk 602","1.4032471","103.9072887"
"218215182","Blk 602A","1.4034755","103.9070327"
"218215183","Blk 602B","1.4030339","103.9068768"
"218215184","Blk 602C","1.4028063","103.9071823"
"218215185","Blk 603","1.4039134","103.9079335"
